time,U,V,wind_speed_100m,temperature_2m,surface_pressure,wind_gust
2026-04-30 00:00:00,6.428207874298096,-9.024248123168945,11.079662028406204,-40.67450561523435,680.298203125,13.108556747436523
2026-04-30 01:00:00,6.272402286529541,-8.803496360778809,10.809467082992887,-40.58661499023435,680.49171875,12.900171279907227
2026-04-30 02:00:00,6.044897556304932,-8.711084365844727,10.603007936198377,-40.69719543457029,680.488828125,12.603346824645996
2026-04-30 03:00:00,5.638891696929932,-9.088335037231445,10.695556709151424,-40.77802124023435,680.563046875,12.406494140625
2026-04-30 04:00:00,5.586154937744141,-8.919963836669922,10.524774669131043,-40.817037963867165,680.6328125,12.200743675231934
2026-04-30 05:00:00,5.6264967918396,-8.935063362121582,10.559016215240355,-40.92326965332029,680.771796875,12.100000381469727
2026-04-30 06:00:00,5.560783863067627,-9.010847091674805,10.58856375913644,-41.05283203124998,680.78984375,12.101293563842773
2026-04-30 07:00:00,5.532995700836182,-8.854872703552246,10.441398949450516,-41.11762084960935,681.01796875,11.899999618530273
2026-04-30 08:00:00,5.352035999298096,-8.5741548538208,10.107443830914004,-41.2686828613281,681.185,11.699999809265137
2026-04-30 09:00:00,5.032455921173096,-8.833454132080078,10.166391911691814,-41.75615539550779,681.249921875,11.5
2026-04-30 10:00:00,4.778364181518555,-8.741769790649414,9.96249483432389,-41.96466674804685,681.3484375,11.100000381469727
2026-04-30 11:00:00,4.917070388793945,-8.146452903747559,9.515370519392887,-41.353659057617165,681.524375,11.300000190734863
2026-04-30 12:00:00,4.894895076751709,-7.746667385101318,9.163561173899621,-41.14999999999998,681.6934375,10.914952278137207
2026-04-30 13:00:00,4.425158500671387,-7.6937575340271,8.87558069922543,-41.01727905273435,681.69296875,10.222501754760742
2026-04-30 14:00:00,4.428686618804932,-7.205585956573486,8.457761769236049,-41.091696166992165,681.835234375,9.532602310180664
2026-04-30 15:00:00,4.3376784324646,-7.492954254150391,8.657933797290147,-41.14999999999998,681.73703125,9.104924201965332
2026-04-30 16:00:00,4.107243537902832,-7.240624904632568,8.32442781752776,-41.1461242675781,681.718515625,8.805283546447754
2026-04-30 17:00:00,3.709792375564575,-7.322885513305664,8.208971416126323,-41.00336303710935,681.815546875,8.70144271850586
2026-04-30 18:00:00,3.433772087097168,-7.603528022766113,8.342926892830668,-40.79169311523435,681.8359375,8.901716232299805
2026-04-30 19:00:00,3.132573127746582,-7.841853141784668,8.44438719493594,-40.67914428710935,681.924375,9.100000381469727
2026-04-30 20:00:00,2.677116632461548,-8.165901184082031,8.59353801481058,-40.7995666503906,682.10203125,9.0
2026-04-30 21:00:00,2.465512752532959,-8.616403579711914,8.962207528359011,-40.849996948242165,682.107734375,9.807621955871582
2026-04-30 22:00:00,2.03045654296875,-8.390820503234863,8.632996147942565,-40.6208557128906,682.3203125,9.803797721862793
2026-04-30 23:00:00,2.0527563095092773,-8.326533317565918,8.575836143185423,-40.53447570800779,682.50609375,10.120585441589355
2026-05-01 00:00:00,1.8772753477096558,-8.25448226928711,8.465260791322006,-40.653952026367165,682.57046875,9.634744644165039
