time,wind_speed_100m,temperature_2m,surface_pressure
2026-04-30 00:00:00,11.42012804762187,-40.67450561523435,680.298203125
2026-04-30 00:15:00,11.344138885796044,-40.634458088874794,680.369462890625
2026-04-30 00:30:00,11.27211836468686,-40.607169532775856,680.43142578125
2026-04-30 00:45:00,11.204478249152436,-40.591576361656166,680.47515625
2026-04-30 01:00:00,11.141630304050883,-40.58661499023435,680.49171875
2026-04-30 01:15:00,11.074452805516803,-40.59951550947614,680.4912670898439
2026-04-30 01:30:00,11.005071295153963,-40.63023141190711,680.4902734375
2026-04-30 01:45:00,10.950768436024221,-40.6667842145857,680.4892797851563
2026-04-30 02:00:00,10.928826891189448,-40.69719543457029,680.488828125
2026-04-30 02:15:00,10.943732000025692,-40.72049053770403,680.4970533988403
2026-04-30 02:30:00,10.97652323946543,-40.74270359240851,680.5169470844072
2026-04-30 02:45:00,11.009314478905171,-40.7623690196099,680.5413359777707
2026-04-30 03:00:00,11.024219587741415,-40.77802124023435,680.563046875
2026-04-30 03:15:00,10.996714902238226,-40.78884321455501,680.5797073314241
2026-04-30 03:30:00,10.93620459413121,-40.79697414108081,680.595307729695
2026-04-30 03:45:00,10.875694286024194,-40.80538279809158,680.6122191068685
2026-04-30 04:00:00,10.848189600521005,-40.817037963867165,680.6328125
2026-04-30 04:15:00,10.852171595373761,-40.83619010367281,680.6660952757452
2026-04-30 04:30:00,10.861749399440946,-40.86269496455204,680.7099238531085
2026-04-30 04:45:00,10.873370741985942,-40.892929247452116,680.7499428476675
2026-04-30 05:00:00,10.883483352272126,-40.92326965332029,680.771796875
2026-04-30 05:15:00,10.892839986961514,-40.95588158949578,680.7775411963405
2026-04-30 05:30:00,10.902798183193562,-40.991845980281084,680.7806325559128
2026-04-30 05:45:00,10.9107128409478,-41.025912802068426,680.7838177937788
2026-04-30 06:00:00,10.913938860203762,-41.05283203124998,680.78984375
2026-04-30 06:15:00,10.900108610644333,-41.0708518891086,680.8211517703476
2026-04-30 06:30:00,10.86441760929812,-41.08468862872686,680.8839802921741
2026-04-30 06:45:00,10.81556547716324,-41.098794274196514,680.9567717929135
2026-04-30 07:00:00,10.76225183523781,-41.11762084960935,681.01796875
2026-04-30 07:15:00,10.678855353809082,-41.14316509583015,681.0668047877305
2026-04-30 07:30:00,10.563820974766948,-41.17565629209303,681.1139036103759
2026-04-30 07:45:00,10.461947726513479,-41.21689527004375,681.1547928153336
2026-04-30 08:00:00,10.41803463745075,-41.2686828613281,681.185
2026-04-30 08:15:00,10.427528307994892,-41.363593889410595,681.2046239607679
2026-04-30 08:30:00,10.44841438319201,-41.50473947222998,681.2193653446448
2026-04-30 08:45:00,10.469300458389124,-41.649724883143335,681.2331545249494
2026-04-30 09:00:00,10.478794128933268,-41.75615539550779,681.249921875
2026-04-30 09:15:00,10.459488151248888,-41.8298098810846,681.2704005186574
2026-04-30 09:30:00,10.409797970623666,-41.89692181554851,681.2931746674733
2026-04-30 09:45:00,10.342065215699474,-41.94577837812682,681.3189513263027
2026-04-30 10:00:00,10.268631515118186,-41.96466674804685,681.3484375
2026-04-30 10:15:00,10.175051430473173,-41.883516752713156,681.3856068450267
2026-04-30 10:30:00,10.05284958983828,-41.697349452954526,681.4306406123214
2026-04-30 10:45:00,9.923322721576088,-41.49208887813463,681.4785571984554
2026-04-30 11:00:00,9.807767554049173,-41.353659057617165,681.524375
2026-04-30 11:15:00,9.709333086584776,-41.28641074438766,681.575039195185
2026-04-30 11:30:00,9.616527709698437,-41.23373173444875,681.6304601873868
2026-04-30 11:45:00,9.528687238535193,-41.19010162168975,681.675104210895
2026-04-30 12:00:00,9.445147488240078,-41.14999999999998,681.6934375
2026-04-30 12:15:00,9.369335254637857,-41.106662501756695,681.6933642578125
2026-04-30 12:30:00,9.299856499872583,-41.06355077060447,681.693203125
2026-04-30 12:45:00,9.228815788568228,-41.0304834173336,681.6930419921875
2026-04-30 13:00:00,9.148317685348768,-41.01727905273435,681.69296875
2026-04-30 13:15:00,9.031606895838951,-41.02584192968285,681.7151977539063
