time,wind_speed_100m,temperature_2m,surface_pressure,physics_mw,hour,month,wind_speed_roll3,wind_speed_roll6,wind_acceleration,final_forecast_mw_q10,final_forecast_mw_q50,final_forecast_mw_q90,final_forecast_mw
2026-04-30 00:00:00,11.42012804762187,-40.67450561523435,680.298203125,2.991183830721275,0,4,11.42012804762187,11.42012804762187,0.0,2.7546665056775965,2.8387992962430872,2.926417870743171,2.8387992962430872
2026-04-30 00:15:00,11.344138885796044,-40.6344580888748,680.369462890625,2.982501309091056,0,4,11.382133466708957,11.382133466708957,-0.07598916182582549,2.7570323457064276,2.8301167746128684,2.9173322205485945,2.8301167746128684
2026-04-30 00:30:00,11.27211836468686,-40.607169532775856,680.43142578125,2.9742722443491205,0,4,11.345461766034925,11.345461766034925,-0.07202052110918444,2.7488032809644922,2.8223763487488016,2.905671604648231,2.8223763487488016
2026-04-30 00:45:00,11.204478249152436,-40.591576361656166,680.47515625,2.966543684748157,0,4,11.273578499878447,11.310215886814301,-0.06764011553442373,2.74150859847401,2.814822669175609,2.897297839668735,2.814822669175609
2026-04-30 01:00:00,11.141630304050883,-40.58661499023435,680.49171875,2.9593626785408538,1,4,11.206075639296728,11.276498770261618,-0.06284794510155223,2.7426410544048827,2.810965486181883,2.890841417325644,2.810965486181883
2026-04-30 01:15:00,11.074452805516804,-40.59951550947614,680.4912670898439,2.9516869775583503,1,4,11.140187119573374,11.24282444280415,-0.06717749853407895,2.7349653534223792,2.8033020935585258,2.8831657163431403,2.8033020935585258
2026-04-30 01:30:00,11.005071295153964,-40.63023141190711,680.4902734375,2.943759446184292,1,4,11.073718134907217,11.173648317392832,-0.0693815103628399,2.727037822048321,2.796505739133015,2.8752381849690822,2.796505739133015
2026-04-30 01:45:00,10.95076843602422,-40.6667842145857,680.4892797851563,2.925722487414188,1,4,11.010097512231662,11.108086575764196,-0.054302859129744974,2.709000863278217,2.778468780362911,2.86274359389574,2.778468780362911
2026-04-30 02:00:00,10.928826891189448,-40.69719543457029,680.488828125,2.9179420156157785,2,4,10.961555540789211,11.050871330181293,-0.021941544834771065,2.7012203914798074,2.774901790705996,2.8487538454807573,2.774901790705996
2026-04-30 02:15:00,10.943732000025692,-40.72049053770403,680.4970533988403,2.92322736720911,2,4,10.941109109079788,11.007413621993502,0.014905108836243741,2.706505743073139,2.775973660157833,2.854039197074089,2.775973660157833
