time,actual_mw,physics_mw,final_forecast_mw
2024-01-01 00:30:00+00:00,2.7941252007504542,3.075,2.915905070304871
2024-01-01 01:30:00+00:00,2.982234430569078,3.075,2.9243548631668093
2024-01-01 02:30:00+00:00,2.9210683317164152,3.075,2.9200735807418825
2024-01-01 03:30:00+00:00,2.9152623753313645,3.075,2.917704072594643
2024-01-01 04:30:00+00:00,2.9266762857402084,3.075,2.9231324315071108
2024-01-01 05:30:00+00:00,3.0447881792916234,3.075,2.919321072101593
2024-01-01 06:30:00+00:00,2.9382093406324437,3.075,2.9179131358861925
2024-01-01 07:30:00+00:00,2.9805447206261393,3.075,2.8961299031972887
2024-01-01 08:30:00+00:00,2.734414773417458,3.075,2.872944650053978
2024-01-01 09:30:00+00:00,2.8209040343132123,3.075,2.8480816900730135
2024-01-01 10:30:00+00:00,2.7726975761534725,3.075,2.83385783135891
2024-01-01 11:30:00+00:00,2.886566118148684,3.075,2.8295258402824404
2024-01-01 12:30:00+00:00,2.8566251972167067,3.075,2.828259986639023
2024-01-01 13:30:00+00:00,0.0,0.0,0.0
2024-01-01 14:30:00+00:00,0.0,0.0,0.0
2024-01-01 15:30:00+00:00,0.0,0.0,0.0
2024-01-01 16:30:00+00:00,0.0,0.0,0.0
2024-01-01 17:30:00+00:00,0.0,0.0,0.0
2024-01-01 18:30:00+00:00,0.0,0.0,0.0
2024-01-01 19:30:00+00:00,0.0,0.0,0.0
2024-01-01 20:30:00+00:00,0.0,0.0,0.002721759956330061
2024-01-01 21:30:00+00:00,0.0,0.0,0.0
2024-01-01 22:30:00+00:00,2.9092158832628523,3.075,2.919483405351639
2024-01-01 23:30:00+00:00,2.8793890511421782,3.075,2.917427656054497
2024-01-02 00:30:00+00:00,2.901679004290426,3.075,2.92244568169117
2024-01-02 01:30:00+00:00,2.8903133778718595,3.075,2.9191523611545565
2024-01-02 02:30:00+00:00,2.929931866824457,3.075,2.9209692001342775
2024-01-02 03:30:00+00:00,3.0891813336151226,3.075,2.9208220660686495
2024-01-02 04:30:00+00:00,2.879639696547417,3.075,2.92049517929554
2024-01-02 05:30:00+00:00,2.906177721381606,3.0661104,2.9080568528560637
2024-01-02 06:30:00+00:00,2.9131552127440132,3.0746998100000003,2.9223693667369464
2024-01-02 07:30:00+00:00,2.762008796814508,3.075,2.9007348984479906
2024-01-02 08:30:00+00:00,2.853189228673204,3.075,2.876742881536484
2024-01-02 09:30:00+00:00,2.9055221567960783,3.075,2.8505105644464495
2024-01-02 10:30:00+00:00,2.7990519617524083,3.075,2.8414460986852648
2024-01-02 11:30:00+00:00,2.8268813333932448,3.075,2.833783146739006
2024-01-02 12:30:00+00:00,2.7603632514409253,3.075,2.8345404088497164
2024-01-02 13:30:00+00:00,2.86884182203593,3.075,2.82975512444973
