time,actual_mw,physics_mw,final_forecast_mw
2024-11-26 14:45:00+00:00,2.8250318152474363,3.028875,2.7738769717216494
2024-11-26 15:00:00+00:00,2.700386082545099,3.028875,2.7928544498682024
2024-11-26 15:15:00+00:00,2.7810565770173468,3.028875,2.792858026146889
2024-11-26 15:30:00+00:00,2.9172206889627157,3.028875,2.792858026146889
2024-11-26 15:45:00+00:00,2.8125417837772235,3.028875,2.792858026146889
2024-11-26 16:00:00+00:00,2.7713484708453837,3.028875,2.8189248360395434
2024-11-26 16:15:00+00:00,2.857702829581691,3.028875,2.8189248360395434
2024-11-26 16:30:00+00:00,2.888209889387254,3.028875,2.8189664996862414
2024-11-26 16:45:00+00:00,2.834077487438098,3.028875,2.8193673111200335
2024-11-26 17:00:00+00:00,2.808845151622001,3.028875,2.849068961262703
2024-11-26 17:15:00+00:00,2.9435070188304997,3.028875,2.849068961262703
2024-11-26 17:30:00+00:00,2.8203299793157837,3.028875,2.849068961262703
2024-11-26 17:45:00+00:00,2.790703425925928,3.028875,2.849068961262703
2024-11-26 18:00:00+00:00,2.953262960665359,3.028875,2.8775903202295305
2024-11-26 18:15:00+00:00,2.9169106224686914,3.028875,2.8775903202295305
2024-11-26 18:30:00+00:00,2.8776386794775313,3.028875,2.8775903202295305
2024-11-26 18:45:00+00:00,2.866106509754775,3.028875,2.8775903202295305
2024-11-26 19:00:00+00:00,2.8214929430536992,3.028875,2.8775903202295305
2024-11-26 19:15:00+00:00,2.8731250187102146,3.028875,2.8773126817941668
2024-11-26 19:30:00+00:00,2.8774820662129863,3.028875,2.8773126817941668
2024-11-26 19:45:00+00:00,2.9403245870653723,3.028875,2.8773126817941668
2024-11-26 20:00:00+00:00,2.8389064141049976,3.028875,2.8773126817941668
2024-11-26 20:15:00+00:00,2.8586161768595595,3.028875,2.8773126817941668
2024-11-26 20:30:00+00:00,2.9667905849360103,3.028875,2.8773126817941668
2024-11-26 20:45:00+00:00,2.8825602390333263,3.028875,2.8773126817941668
2024-11-26 21:00:00+00:00,2.919566708637165,3.028875,2.8773126817941668
2024-11-26 21:15:00+00:00,2.899168729859711,3.028875,2.8773126817941668
2024-11-26 21:30:00+00:00,2.8530453047025746,3.028875,2.8773126817941668
2024-11-26 21:45:00+00:00,2.9892437394744116,3.028875,2.8774894691705706
2024-11-26 22:00:00+00:00,2.8597967715863652,3.028875,2.8769256986379625
2024-11-26 22:15:00+00:00,2.860288474679558,3.02394647799791,2.8719971766358725
2024-11-26 22:30:00+00:00,2.8428520793604615,3.019181710955017,2.8674164240325624
2024-11-26 22:45:00+00:00,2.8614074630628172,3.0267668251317335,2.874652716926892
2024-11-26 23:00:00+00:00,2.852430820631248,3.028875,2.8774112976789477
2024-11-26 23:15:00+00:00,2.914672729091969,3.028875,2.878744266152382
2024-11-26 23:30:00+00:00,2.84817947672731,3.028875,2.8786888934373858
2024-11-26 23:45:00+00:00,2.887734308000067,3.028875,2.8786888934373858
2024-11-27 00:00:00+00:00,2.852430983140494,3.028875,2.8784268416166308
2024-11-27 00:15:00+00:00,2.895428196974113,3.028875,2.878693363785744
2024-11-27 00:30:00+00:00,2.8744897773503824,3.028875,2.878387949585915
2024-11-27 00:45:00+00:00,2.8300346101920337,3.028875,2.878387949585915
2024-11-27 01:00:00+00:00,2.7613822088918427,3.028875,2.8785916484594347
2024-11-27 01:15:00+00:00,2.9235736361879714,3.028875,2.8785916484594347
2024-11-27 01:30:00+00:00,2.8791236280098356,3.028875,2.8785916484594347
2024-11-27 01:45:00+00:00,3.0172524981987214,3.028875,2.8785916484594347
2024-11-27 02:00:00+00:00,2.79192937082136,3.028875,2.8785916484594347
2024-11-27 02:15:00+00:00,2.9043031276681264,3.028875,2.877519390702248
2024-11-27 02:30:00+00:00,2.7848112911532454,3.0282341730239697,2.876724962556631
2024-11-27 02:45:00+00:00,2.9626585527216975,3.0126236785753844,2.86129849744879
2024-11-27 03:00:00+00:00,2.5773228154458607,2.8531168209206834,2.709805841912009
